Time [s]	gt_FA2TC_data.n_meas(W:0000E914h)
1.199	0.0305845
1.2	0.0288516
1.201	0.0293442
1.202	0.0293442
1.203	0.0312513
1.204	0.0308184
1.205	0.0299601
1.206	0.0298315
1.207	0.0305568
1.208	0.0316229
1.209	0.0319095
1.21	0.0312235
1.211	0.0303409
1.212	0.0301814
1.213	0.0308286
1.214	0.0308286
1.215	0.0319102
1.216	0.0310704
1.217	0.0300551
1.218	0.0299211
1.219	0.0310095
1.22	0.0317657
1.221	0.0315626
1.222	0.0304104
1.223	0.0294417
1.224	0.0297995
1.225	0.0307976
1.226	0.0314109
1.227	0.0309793
1.228	0.0304587
1.229	0.0292912
1.23	0.0296977
1.231	0.0307692
1.232	0.0312135
1.233	0.0308677
1.234	0.0300495
1.235	0.0297329
1.236	0.0303097
1.237	0.0312428
1.238	0.0315642
1.239	0.0315642
1.24	0.0302522
1.241	0.0300202
1.242	0.0307408
1.243	0.0314593
1.244	0.0314005
1.245	0.030583
1.246	0.0299084
1.247	0.0299115
1.248	0.0306919
1.249	0.0311423
1.25	0.0306884
1.251	0.0297968
1.252	0.02925
1.253	0.0294972
1.254	0.0301997
1.255	0.0304605
1.256	0.0299692
1.257	0.029349
1.258	0.0292948
1.259	0.0300891
1.26	0.0308709
1.261	0.0310197
1.262	0.0305778
1.263	0.0302618
1.264	0.0304653
1.265	0.0311177
1.266	0.0316057
1.267	0.0312642
1.268	0.0306056
1.269	0.0300032
1.27	0.0304649
1.271	0.0311159
1.272	0.0311285
1.273	0.0305605
1.274	0.0298547
1.275	0.0295892
1.276	0.0298867
1.277	0.030319
1.278	0.030249
1.279	0.0295021
1.28	0.0290054
1.281	0.0291381
1.282	0.0296427
1.283	0.0300621
1.284	0.029813
1.285	0.0291523
1.286	0.0291523
1.287	0.0297485
1.288	0.0304414
1.289	0.0308184
1.29	0.0303443
1.291	0.0298443
1.292	0.0298471
1.293	0.0304027
1.294	0.0307224
1.295	0.0304906
1.296	0.0298593
1.297	0.0296504
1.298	0.0299417
1.299	0.0304043
1.3	0.0302935
1.301	0.0297717
1.302	0.0293085
1.303	0.029079
1.304	0.0294017
1.305	0.0297712
1.306	0.029695
1.307	0.0291361
1.308	0.0285818
1.309	0.0286471
1.31	0.0292546
1.311	0.0297138
1.312	0.0296928
1.313	0.0291503
1.314	0.0289603
1.315	0.0292501
1.316	0.0299687
1.317	0.0303192
1.318	0.0303192
1.319	0.0296166
1.32	0.0296632
1.321	0.0300944
1.322	0.0305819
1.323	0.0305493
1.324	0.0301867
1.325	0.0299048
1.326	0.0299073
1.327	0.0302211
1.328	0.030318
1.329	0.0299668
1.33	0.0294623
1.331	0.0292536
1.332	0.0294953
1.333	0.0296933
1.334	0.0294344
1.335	0.0288889
1.336	0.0284025
1.337	0.0285047
1.338	0.0287955
1.339	0.0290063
1.34	0.0287314
1.341	0.0283274
1.342	0.0284061
1.343	0.0289929
1.344	0.029488
1.345	0.0297532
1.346	0.0297532
1.347	0.0296991
1.348	0.0297066
1.349	0.0300489
1.35	0.0304291
1.351	0.0303875
1.352	0.0299202
1.353	0.0299202
1.354	0.0299887
1.355	0.0302454
1.356	0.0301124
1.357	0.029793
1.358	0.0294512
1.359	0.0292436
1.36	0.0293543
1.361	0.0294636
1.362	0.028982
1.363	0.0285642
1.364	0.0284658
1.365	0.0285733
1.366	0.028686
1.367	0.0286738
1.368	0.0285484
1.369	0.0285742
1.37	0.0288999
1.371	0.0292745
1.372	0.0293507
1.373	0.0295165
1.374	0.0296222
1.375	0.0298496
1.376	0.0300287
1.377	0.0300066
1.378	0.0299596
1.379	0.029861
1.38	0.0298312
1.381	0.0298291
1.382	0.0297052
1.383	0.0295226
1.384	0.0295161
1.385	0.02947
1.386	0.0292889
1.387	0.0290434
1.388	0.0289457
1.389	0.0290557
1.39	0.0288979
1.391	0.0286086
1.392	0.0284769
1.393	0.0284506
1.394	0.0286369
1.395	0.0287633
1.396	0.0287058
