Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
0.733	0.0297311	
0.734	0.0303054	
0.735	0.0305752	
0.736	0.0301912	
0.737	0.0296283	
0.738	0.0296222	
0.739	0.0301169	
0.740	0.0305002	
0.741	0.0302426	
0.742	0.0298725	
0.743	0.0298692	
0.744	0.0301164	
0.745	0.0305044	
0.746	0.0304883	
0.747	0.0299344	
0.748	0.0298669	
0.749	0.0302816	
0.750	0.0307208	
0.751	0.0305946	
0.752	0.0302002	
0.753	0.0302538	
0.754	0.0307997	
0.755	0.0307997	
0.756	0.0306079	
0.757	0.0302396	
0.758	0.0303957	
0.759	0.0308257	
0.760	0.0310746	
0.761	0.030889	
0.762	0.0305268	
0.763	0.0303501	
0.764	0.0304345	
0.765	0.0306041	
0.766	0.0306838	
0.767	0.0306838	
0.768	0.0305191	
0.769	0.0303974	
0.770	0.0303307	
0.771	0.0302051	
0.772	0.029947	
0.773	0.029947	
0.774	0.0304342	
0.775	0.0304342	
0.776	0.0295773	
0.777	0.0295773	
0.778	0.0296769	
0.779	0.0296769	
0.780	0.0304099	
0.781	0.0304099	
0.782	0.0296	
0.783	0.0295536	
0.784	0.0295536	
0.785	0.0301865	
0.786	0.0300495	
0.787	0.0297857	
0.788	0.0295495	
0.789	0.0295495	
0.790	0.0303102	
0.791	0.0301777	
0.792	0.0300177	
0.793	0.0299825	
0.794	0.0302385	
0.795	0.0303845	
0.796	0.0302462	
0.797	0.0300022	
0.798	0.029994	
0.799	0.0302309	
0.800	0.0304226	
0.801	0.0301799	
0.802	0.0298863	
0.803	0.029827	
0.804	0.029827	
0.805	0.0298183	
0.806	0.0299163	
0.807	0.0297823	
0.808	0.0296182	
0.809	0.0298077	
0.810	0.0298353	
0.811	0.0299558	
0.812	0.0300534	
0.813	0.0299764	
0.814	0.029687	
0.815	0.0296496	
0.816	0.0301269	
0.817	0.0304008	
0.818	0.0300866	
0.819	0.0295784	
0.820	0.0295288	
0.821	0.0299106	
0.822	0.0302264	
0.823	0.030135	
0.824	0.0295401	
0.825	0.0291956	
0.826	0.0296717	
0.827	0.03014	
0.828	0.0302382	
0.829	0.0299014	
0.830	0.0294942	
0.831	0.0293804	
0.832	0.0300172	
0.833	0.0306192	
0.834	0.0307103	
0.835	0.0304031	
0.836	0.0300665	
0.837	0.030132	
0.838	0.0306274	
0.839	0.0312996	
0.840	0.0314378	
