Time [s]	gt_FA2TC_data.n_meas(W:0000EED4h)	
0.753	0.0260484	
0.754	0.0261586	
0.755	0.0260309	
0.756	0.0260339	
0.757	0.0262432	
0.758	0.026557	
0.759	0.0269374	
0.760	0.0270987	
0.761	0.0273088	
0.762	0.0274813	
0.763	0.0276168	
0.764	0.0276771	
0.765	0.0279381	
0.766	0.0280704	
0.767	0.0280496	
0.768	0.028019	
0.769	0.0280716	
0.770	0.028309	
0.771	0.0283749	
0.772	0.0281017	
0.773	0.0276997	
0.774	0.0277598	
0.775	0.028011	
0.776	0.0280239	
0.777	0.027586	
0.778	0.027137	
0.779	0.027084	
0.780	0.0273885	
0.781	0.0276187	
0.782	0.0274859	
0.783	0.0272582	
0.784	0.0273243	
0.785	0.0277704	
0.786	0.0283541	
0.787	0.0285267	
0.788	0.0285484	
0.789	0.0288684	
0.790	0.0294482	
0.791	0.0301575	
0.792	0.0305005	
0.793	0.0306802	
0.794	0.0309214	
0.795	0.0314916	
0.796	0.0322004	
0.797	0.0325288	
0.798	0.0325359	
0.799	0.032547	
0.800	0.0328168	
0.801	0.0330188	
0.802	0.0328766	
0.803	0.0325124	
0.804	0.0324418	
0.805	0.0326105	
0.806	0.0325912	
0.807	0.0324925	
0.808	0.0321182	
0.809	0.0316919	
0.810	0.0316139	
0.811	0.031829	
0.812	0.0318893	
0.813	0.0316968	
0.814	0.0317367	
0.815	0.0319351	
0.816	0.0321668	
0.817	0.0325575	
0.818	0.0329862	
0.819	0.0332467	
0.820	0.0332934	
0.821	0.033369	
0.822	0.0334795	
0.823	0.0337889	
0.824	0.0339073	
0.825	0.0338033	
0.826	0.033727	
0.827	0.0337333	
0.828	0.0338563	
0.829	0.0337029	
0.830	0.0334922	
0.831	0.0333718	
0.832	0.0333978	
0.833	0.03335	
0.834	0.0332817	
0.835	0.0332932	
0.836	0.0333002	
0.837	0.0335558	
0.838	0.0337959	
0.839	0.0340263	
0.840	0.0342812	
0.841	0.0345177	
0.842	0.0347993	
0.843	0.0348389	
0.844	0.0348664	
0.845	0.0351011	
0.846	0.0351857	
0.847	0.0353089	
0.848	0.035391	
0.849	0.0353834	
0.850	0.0352694	
0.851	0.0350307	
0.852	0.03479	
0.853	0.0348234	
0.854	0.0347839	
0.855	0.0345775	
0.856	0.0341321	
0.857	0.033707	
0.858	0.0336483	
0.859	0.0336904	
0.860	0.033777	
0.861	0.0336437	
0.862	0.0335035	
0.863	0.0335665	
0.864	0.0338605	
0.865	0.0341832	
0.866	0.0342757	
0.867	0.0343836	
0.868	0.0347148	
0.869	0.035052	
0.870	0.0353931	
0.871	0.0354558	
0.872	0.0353272	
0.873	0.0354148	
0.874	0.0356717	
0.875	0.0358194	
0.876	0.0355521	
0.877	0.0349386	
0.878	0.0345276	
0.879	0.0344672	
0.880	0.0343656	
0.881	0.03431	
0.882	0.0337758	
0.883	0.033025	
0.884	0.0326155	
0.885	0.0324805	
0.886	0.0327323	
0.887	0.0326812	
0.888	0.0323588	
0.889	0.032504	
0.890	0.0326164	
0.891	0.0329217	
0.892	0.0329282	
0.893	0.032821	
0.894	0.0325423	
0.895	0.0326241	
0.896	0.0328351	
0.897	0.0325601	
0.898	0.0325601	
0.899	0.0320054	
0.900	0.0319304	
0.901	0.0318161	
0.902	0.031754	
0.903	0.0315857	
0.904	0.0309167	
0.905	0.0305122	
0.906	0.0302554	
0.907	0.0302713	
0.908	0.0301515	
0.909	0.03	
0.910	0.0293382	
0.911	0.0293382	
0.912	0.0297765	
0.913	0.0297765	
0.914	0.0299089	
0.915	0.0299089	
0.916	0.0300892	
0.917	0.0300892	
0.918	0.030523	
0.919	0.030523	
0.920	0.0299444	
0.921	0.0299444	
0.922	0.0303506	
0.923	0.0303506	
0.924	0.0302932	
0.925	0.0302932	
0.926	0.0297541	
0.927	0.0296246	
0.928	0.0295371	
0.929	0.0293143	
0.930	0.0288448	
0.931	0.0283637	
0.932	0.0284595	
0.933	0.0283384	
0.934	0.0279037	
0.935	0.0275659	
0.936	0.0271343	
0.937	0.0273068	
0.938	0.0273122	
0.939	0.0273793	
0.940	0.027296	
0.941	0.0271915	
0.942	0.0274241	
0.943	0.0279289	
0.944	0.0280878	
0.945	0.0280859	
0.946	0.0281869	
0.947	0.0285856	
0.948	0.0285856	
0.949	0.0292963	
0.950	0.0295304	
0.951	0.0293834	
0.952	0.0297675	
0.953	0.0300111	
0.954	0.0303489	
0.955	0.0304199	
0.956	0.0303259	
0.957	0.0300085	
0.958	0.0299797	
0.959	0.0301667	
0.960	0.0299094	
0.961	0.0299094	
0.962	0.0290301	
0.963	0.0290301	
0.964	0.0286196	
0.965	0.0284364	
0.966	0.0280101	
0.967	0.0274705	
0.968	0.0272788	
0.969	0.0275238	
0.970	0.0275758	
0.971	0.0274337	
0.972	0.0276162	
0.973	0.0277978	
0.974	0.0281425	
0.975	0.0283829	
0.976	0.0285022	
0.977	0.0282902	
0.978	0.0281952	
0.979	0.0283046	
0.980	0.0285732	
0.981	0.0287279	
0.982	0.0286314	
0.983	0.0284049	
0.984	0.0281242	
0.985	0.0278282	
0.986	0.0276777	
0.987	0.02753	
0.988	0.0271994	
0.989	0.0267228	
0.990	0.026545	
0.991	0.0264075	
0.992	0.0264002	
0.993	0.0260633	
0.994	0.0256404	
0.995	0.0254299	
0.996	0.0255381	
0.997	0.0256882	
0.998	0.0257369	
0.999	0.0255658	
1.000	0.0256272	
1.001	0.0259572	
1.002	0.0263659	
1.003	0.0266636	
1.004	0.0267202	
1.005	0.0266997	
1.006	0.0270348	
1.007	0.0274449	
1.008	0.0277345	
1.009	0.0276093	
1.010	0.0275801	
1.011	0.0277443	
1.012	0.0280671	
1.013	0.0282881	
1.014	0.0282106	
1.015	0.0278599	
1.016	0.0277389	
1.017	0.0277449	
1.018	0.0280664	
1.019	0.0276188	
1.020	0.0272182	
1.021	0.0270964	
1.022	0.0269322	
1.023	0.0270615	
1.024	0.0269844	
1.025	0.0266821	
1.026	0.0265917	
1.027	0.0268014	
1.028	0.0269957	
1.029	0.0269925	
1.030	0.0271289	
1.031	0.0273539	
1.032	0.0277468	
1.033	0.0281289	
1.034	0.0286396	
1.035	0.0287911	
1.036	0.0289869	
1.037	0.0296594	
1.038	0.0299718	
1.039	0.0305004	
1.040	0.0309103	
1.041	0.0310324	
1.042	0.0311584	
1.043	0.0315255	
1.044	0.0318043	
1.045	0.0316801	
